context,model,metric,reported_value,recomputed_value,absolute_difference,relative_difference,tolerance,status
WITHIN_EUROC,Transformer,mean_paired_delta,0.01569037389,0.0156903739,9.999969602381142e-12,6.373315048122885e-10,1e-06,PASS
WITHIN_EUROC,Transformer,median_paired_delta,0.02372919714,0.02372919715,9.999962663487239e-12,4.214201856256835e-10,1e-06,PASS
WITHIN_EUROC,Transformer,ci_low_delta,-0.00529862959,-0.0052986296,1.0000030317702802e-11,1.8872861648181e-09,1e-06,PASS
WITHIN_EUROC,Transformer,ci_high_delta,0.03205811459,0.03205811462,2.6666661934182656e-11,8.318225284059869e-10,1e-06,PASS
WITHIN_EUROC,Transformer,wins,1,1,0,0,1e-06,PASS
WITHIN_EUROC,Transformer,losses,5,5,0,0,1e-06,PASS
WITHIN_UZH,TCN,mean_paired_delta,-0.02301985417,-0.02301985438,2.0500001002288215e-10,8.905356589532303e-09,1e-06,PASS
WITHIN_UZH,TCN,median_paired_delta,-0.019765759,-0.01976575925,2.499999027238964e-10,1.2648130675067746e-08,1e-06,PASS
WITHIN_UZH,TCN,ci_low_delta,-0.04687873612,-0.0468787363,1.8468743895327933e-10,3.939684689461703e-09,1e-06,PASS
WITHIN_UZH,TCN,ci_high_delta,0.002736867575,0.002736867219,3.5625010406936664e-10,1.3016709588857862e-07,1e-06,PASS
WITHIN_UZH,TCN,wins,6,6,0,0,1e-06,PASS
WITHIN_UZH,TCN,losses,2,2,0,0,1e-06,PASS
WITHIN_UZH,GRU,mean_paired_delta,0.002676052268,0.0026760525,2.3200002552750676e-10,8.669487823602806e-08,1e-06,PASS
WITHIN_UZH,GRU,median_paired_delta,-0.01183799139,-0.011837991,3.8999984144916233e-10,3.294476474941602e-08,1e-06,PASS
WITHIN_UZH,GRU,ci_low_delta,-0.03859730217,-0.03859730201,1.6062493696233915e-10,4.1615586564800356e-09,1e-06,PASS
WITHIN_UZH,GRU,ci_high_delta,0.04935560004,0.04935560038,3.350000554735999e-10,6.787478122079374e-09,1e-06,PASS
WITHIN_UZH,GRU,wins,5,5,0,0,1e-06,PASS
WITHIN_UZH,GRU,losses,3,3,0,0,1e-06,PASS
WITHIN_UZH,Transformer,mean_paired_delta,-0.04791510577,-0.04791510572,4.5000024539998407e-11,9.39161540329381e-10,1e-06,PASS
WITHIN_UZH,Transformer,median_paired_delta,-0.03975629148,-0.0397562917,2.1999989330279135e-10,5.533712655604852e-09,1e-06,PASS
WITHIN_UZH,Transformer,ci_low_delta,-0.07264050957,-0.07264050955,2.4374988139008735e-11,3.355564034902562e-10,1e-06,PASS
WITHIN_UZH,Transformer,ci_high_delta,-0.02231550348,-0.0223155033,1.80000070404418e-10,8.06614426449042e-09,1e-06,PASS
WITHIN_UZH,Transformer,wins,7,7,0,0,1e-06,PASS
WITHIN_UZH,Transformer,losses,1,1,0,0,1e-06,PASS
EUROC_TO_UZH,TCN,mean_paired_delta,-0.01524081247,-0.01524081231,1.5749996792879806e-10,1.0334092637044175e-08,1e-06,PASS
EUROC_TO_UZH,TCN,median_paired_delta,-0.006632396359,-0.00663239625,1.0900005030511917e-10,1.64344897990315e-08,1e-06,PASS
EUROC_TO_UZH,TCN,ci_low_delta,-0.04400357954,-0.04400357925,2.8999998930023807e-10,6.5903726999441755e-09,1e-06,PASS
EUROC_TO_UZH,TCN,ci_high_delta,0.01096331871,0.01096331881,1.0249994256139594e-10,9.349353537255321e-09,1e-06,PASS
EUROC_TO_UZH,TCN,wins,6,6,0,0,1e-06,PASS
EUROC_TO_UZH,TCN,losses,2,2,0,0,1e-06,PASS
EUROC_TO_UZH,GRU,mean_paired_delta,0.01488857104,0.0148885712,1.6000000629956546e-10,1.0746498496713051e-08,1e-06,PASS
EUROC_TO_UZH,GRU,median_paired_delta,-0.01058228343,-0.0105822832,2.300000138261149e-10,2.173444090280947e-08,1e-06,PASS
EUROC_TO_UZH,GRU,ci_low_delta,-0.0450543076,-0.0450543073,3.0125003880332457e-10,6.686375950505664e-09,1e-06,PASS
EUROC_TO_UZH,GRU,ci_high_delta,0.08177639399,0.08177639397,1.9999904510292765e-11,2.4456818813432206e-10,1e-06,PASS
EUROC_TO_UZH,GRU,wins,4,4,0,0,1e-06,PASS
EUROC_TO_UZH,GRU,losses,4,4,0,0,1e-06,PASS
