native_fs_hz,frequency_hz,magnitude_db,phase_rad
500,4.028320312,-0.6501783719,-0.4857121346
500,4.150390625,-0.631082082,-0.5016061441
500,4.272460938,-0.6117176989,-0.5176007116
500,4.39453125,-0.5921129453,-0.5336979699
500,4.516601562,-0.5722964176,-0.5498999542
500,4.638671875,-0.5522975737,-0.5662085966
500,4.760742188,-0.5321467179,-0.582625719
500,4.8828125,-0.5118749817,-0.5991530275
500,5.004882812,-0.4915143018,-0.6157921051
500,5.126953125,-0.4710973941,-0.632544406
500,5.249023438,-0.4506577235,-0.6494112481
500,5.37109375,-0.4302294696,-0.6663938063
500,5.493164062,-0.4098474878,-0.6834931063
500,5.615234375,-0.389547266,-0.700710017
500,5.737304688,-0.3693648763,-0.7180452443
500,5.859375,-0.349336922,-0.7354993241
500,5.981445312,-0.3295004789,-0.753072616
500,6.103515625,-0.3098930321,-0.7707652969
500,6.225585938,-0.2905524068,-0.7885773546
500,6.34765625,-0.2715166948,-0.8065085825
500,6.469726562,-0.2528241742,-0.8245585735
500,6.591796875,-0.2345132256,-0.8427267155
500,6.713867188,-0.2166222412,-0.8610121861
500,6.8359375,-0.1991895308,-0.8794139492
500,6.958007812,-0.1822532213,-0.8979307508
500,7.080078125,-0.1658511526,-0.9165611166
500,7.202148438,-0.1500207691,-0.9353033496
500,7.32421875,-0.1347990065,-0.9541555287
500,7.446289062,-0.1202221764,-0.973115508
500,7.568359375,-0.1063258469,-0.9921809171
500,7.690429688,-0.09314472094,-1.011349163
500,7.8125,-0.08071251291,-1.03061743
500,7.934570312,-0.06906182409,-1.049982686
500,8.056640625,-0.05822401738,-1.069441684
500,8.178710938,-0.04822909238,-1.08899097
500,8.30078125,-0.03910556143,-1.108626886
500,8.422851562,-0.03088032745,-1.128345581
500,8.544921875,-0.02357856454,-1.148143016
500,8.666992188,-0.01722360193,-1.168014977
500,8.7890625,-0.01183681237,-1.187957083
500,8.911132812,-0.007437505757,-1.207964799
500,9.033203125,-0.004042828666,-1.228033449
500,9.155273438,-0.001667670831,-1.248158229
500,9.27734375,-0.000324579153,-1.268334221
500,9.399414062,np.float64(-2.36800405282755e-05),-1.28855641
500,9.521484375,-0.0007726107066,-1.308819698
500,9.643554688,-0.00257646002,-1.329118923
500,9.765625,-0.005437719419,-1.349448873
500,9.887695312,-0.009356244306,-1.369804308
500,10.00976562,-0.01432922627,-1.390179975
500,10.13183594,-0.02035117635,-1.410570627
